,short_name,league_name,player_positions,overall
15017,A. Abqar,Spain Primera Division,CB,60
224,A. Correa,Spain Primera Division,"RM, ST",82
2486,A. Espino,Spain Primera Division,LB,74
1822,A. Fernández,Spain Primera Division,"CM, CDM",75
45,A. Griezmann,Spain Primera Division,"ST, CF, LW",87
798,A. Guardado,Spain Primera Division,"CM, CDM, LM",78
511,A. Isak,Spain Primera Division,ST,79
400,A. Januzaj,Spain Primera Division,"RW, RM",80
4914,A. Lozano,Spain Primera Division,ST,70
1503,A. Lunin,Spain Primera Division,GK,75
13076,A. Mahmoud,Spain Primera Division,"CM, CDM, CB",62
574,A. Mandi,Spain Primera Division,CB,79
1222,A. Ndiaye,Spain Primera Division,LM,76
1891,A. Nyom,Spain Primera Division,"RM, LB, RB",75
3821,A. Palaversa,Spain Primera Division,"CM, CDM, CAM",71
2086,A. Sanabria,Spain Primera Division,ST,74
7596,Aarón,Spain Primera Division,GK,67
14712,Adrián,Spain Primera Division,GK,60
1817,Adrián López,Spain Primera Division,"ST, LM",75
2509,Adrián Marín,Spain Primera Division,LB,73
6561,Aguado,Spain Primera Division,"CM, CDM, CAM",68
2519,Aihen Muñoz,Spain Primera Division,LB,73
10797,Aimar Oroz,Spain Primera Division,"CAM, CM",64
193,Aitor,Spain Primera Division,GK,83
7571,Aitor Ruibal,Spain Primera Division,"ST, RM, RWB",67
4931,Akapo,Spain Primera Division,"RB, LB",70
1130,Alberto Moreno,Spain Primera Division,LB,77
6047,Alberto Perea,Spain Primera Division,LM,69
13401,Alberto Rubio,Spain Primera Division,"CAM, CM",62
4528,Alberto Soro,Spain Primera Division,RM,70
1123,Aleix Vidal,Spain Primera Division,"RM, LM",77
10795,Alex Baena,Spain Primera Division,"RW, LW, RM",64
4551,Alex Pozo,Spain Primera Division,"RB, RM, LM",70
2073,Aleñá,Spain Primera Division,"CM, RM, CAM",74
14057,Alfon,Spain Primera Division,"ST, LM",61
12149,Alfredo,Spain Primera Division,"LM, RM",63
15598,Algobia,Spain Primera Division,CM,59
15814,Alkain,Spain Primera Division,"RW, CAM",59
15524,Almerge,Spain Primera Division,RB,59
11895,Altube,Spain Primera Division,GK,63
3122,Ander Guevara,Spain Primera Division,CM,72
13345,Ander Iru,Spain Primera Division,GK,62
9796,Andorinha,Spain Primera Division,GK,65
789,Andrés Fernández,Spain Primera Division,GK,78
1177,Ansu Fati,Spain Primera Division,"LW, RW",76
3490,Antoñito,Spain Primera Division,"RB, RM, RWB",72
6425,Antoñín,Spain Primera Division,"ST, LM, RM",68
7369,Apa,Spain Primera Division,"RB, RM",67
16413,Arambarri,Spain Primera Division,CB,58
1927,Arbilla,Spain Primera Division,"CB, LB, RB",75
1077,Aridane,Spain Primera Division,CB,77
10870,Aritz Castro,Spain Primera Division,GK,64
1260,Aritz Elustondo,Spain Primera Division,"CB, RB",76
12976,Arribas,Spain Primera Division,"CAM, RM, LM",62
9983,Arturo Molina,Spain Primera Division,"CAM, RM",65
16335,Atienza,Spain Primera Division,CM,58
11977,Baena,Spain Primera Division,"LW, ST, RW",63
2336,Balenziaga,Spain Primera Division,LB,74
2518,Barrenetxea,Spain Primera Division,"LW, ST, RW",73
