,short_name,league_name,player_positions,overall
2837,A. Ba,Spain Primera Division,CB,73
7057,A. Bangoura,Spain Primera Division,"RM, LM",68
413,A. Correa,Spain Primera Division,"RM, ST",80
12915,A. Dávila,Spain Primera Division,ST,62
19,A. Griezmann,Spain Primera Division,ST,89
281,A. Guardado,Spain Primera Division,"CM, CDM",82
5673,A. Hjulsager,Spain Primera Division,"CM, RW, LW",69
735,A. Januzaj,Spain Primera Division,"RW, RM, LW",78
2201,A. Lozano,Spain Primera Division,"ST, CAM",74
1237,A. Lunin,Spain Primera Division,GK,76
566,A. Mandi,Spain Primera Division,CB,79
958,A. Ndiaye Diedhiou,Spain Primera Division,"LM, ST",77
2493,A. Nyom,Spain Primera Division,"RB, LB",74
6109,A. Sadiku,Spain Primera Division,ST,69
551,A. Sanabria,Spain Primera Division,ST,79
944,A. Szymanowski,Spain Primera Division,"LM, CM, LW",78
7020,A. Toşca,Spain Primera Division,"CB, LB",68
106,A. Vidal,Spain Primera Division,"CDM, CM",85
3221,A. Werner,Spain Primera Division,GK,72
7541,Abel Ruiz,Spain Primera Division,"ST, LW",67
2045,Aday Benítez,Spain Primera Division,"LB, RB, LWB",75
7746,Adrián Diéguez,Spain Primera Division,"CB, LB",67
3226,Adrián Marín,Spain Primera Division,"LB, LWB, LM",72
191,Aduriz,Spain Primera Division,ST,83
196,Adán,Spain Primera Division,GK,83
2921,Agirretxe,Spain Primera Division,"ST, LW",73
5421,Aguilera,Spain Primera Division,CDM,70
3415,Aitor,Spain Primera Division,GK,72
4082,Akapo,Spain Primera Division,"RB, LB",71
7910,Akieme,Spain Primera Division,LB,67
2453,Alberto,Spain Primera Division,GK,74
13063,Alberto Redondo,Spain Primera Division,"RB, LB",62
1998,Alcalá,Spain Primera Division,CB,75
4702,Aleix García,Spain Primera Division,"CM, CDM",70
1214,Aleix Vidal,Spain Primera Division,"RB, RM",77
4132,Alex Alegría,Spain Primera Division,ST,71
7688,Alex López,Spain Primera Division,CM,67
8845,Alex Pozo,Spain Primera Division,"RM, LM, ST, CAM",66
4697,Aleñà,Spain Primera Division,"CM, RW, CAM",70
8800,Ander Guevara,Spain Primera Division,CM,66
